size   insertion    heap   radix_counting   quick
1       1105       1927        11674       812
2       1289       2614        13242       1906
3       1529       3136        14848       2480
4       1413       2995        13056       2340
5       1563       3456        14243       2703
6       1734       3939        15346       3048
7       1931       4348        16442       3348
8       2274       5195        17991       3772
9       2477       5618        18872       4072
10       2709       6235        19915       4461
20       6688       13219        31156       8203
30       13392       21082        42560       12401
40       21678       29624        53040       16614
50       32690       38965        64321       21230
60       47049       48995        76662       26221
70       62458       58608        87874       30966
80       80696       68674        97448       35666
90       103653       81441        111569       41755
100       127080       90947        120557       45482
200       492763       210006        231479       100004
300       1100766       343877        356169       166309
400       2045874       483853        480869       233983
500       3275763       624425        601368       309353
600       4829546       786391        729402       382362
700       6723717       951290        852768       459021
800       8899532       1113361        970412       544224
900       11663338       1327468        1119872       630070
1000       15863997       1610135        1348853       776027
2000       59859024       3297720        2506677       1560057
3000       130536683       5072981        3687347       2392361
4000       234224466       7111646        5026323       3400720
5000       371341093       9317869        6366751       4334226
6000       529981794       11296081        7619971       5307921
7000       721765186       13349475        8896655       6287290
8000       937672390       15491315        10146432       7235381
9000       1214357662       17794327        11635343       8247750
