size   insertion    heap   radix_counting   quick    hybrid
1       1687       3266        19969       1358       2055
2       1895       4007        20829       2910       2262
3       1884       4021        20317       3197       2162
4       2468       5684        24884       4184       2747
5       3118       7171        30143       5535       4784
6       2948       7317        29025       5531       3309
7       4500       10317        38300       7839       4778
8       3816       9501        34895       7049       4168
9       4000       9838        33204       7084       4389
10       5718       13461        42454       9367       5894
20       17803       30974        69401       19563       14981
30       27375       49541        88349       26210       25117
40       37751       62210        91544       28889       28131
50       61939       89690        118780       40257       37091
60       80049       105623        137129       45197       44971
70       118532       137489        161960       58068       57133
80       144712       154964        173819       70423       66845
90       194451       190453        205140       76221       75732
100       220542       201989        209446       81648       79391
200       867334       476344        407918       185715       175399
300       1973374       775019        636564       306059       295768
400       3185380       942260        789551       417986       383804
500       4047529       976536        745129       394180       379682
600       5833239       1213999        907477       503824       469121
700       8095886       1414315        1038037       597785       579347
800       10923493       1732235        1176611       677723       659677
900       13587104       1876326        1323379       779678       751150
1000       17377959       2219510        1548756       937740       889830
2000       107157380       7197404        4512996       3044939       2944129
3000       244129829       11499417        6959173       4796296       4628598
4000       437296566       15671442        9430058       6630457       6448807
5000       637615962       18784829        10935865       8026366       7695378
6000       620035002       15812184        8913444       6631983       6425527
7000       868264328       19226567        10913598       7997105       7739678
8000       1113070936       21670305        12296960       9167327       8804822
9000       1556132014       27436312        15449663       11832974       11304261
