size   insertion    heap   radix_counting   quick
1       1272       2515        15069       1011
2       1572       3730        17412       2611
3       1771       4336        20433       3557
4       2005       5868        24597       4820
5       2149       6696        26032       5609
6       2163       7526        27284       6428
7       2215       8334        29682       7486
8       2349       9599        31025       8358
9       2498       10978        34678       9694
10       2479       11809        35816       10687
20       3349       26243        54842       27832
30       4207       41889        75393       56211
40       5197       62844        94464       90325
50       6492       80756        117734       137011
60       8012       113301        158925       229911
70       7601       116998        150545       247609
80       8438       137458        167610       317584
90       9718       163629        192374       409871
100       11206       179960        214871       493707
200       19211       423566        428479       1959689
300       27168       633966        576674       3828488
400       27343       661806        588075       5404950
500       33409       847814        719850       8287335
600       40498       1025672        855874       11942585
700       47720       1247689        999611       16356101
800       54805       1446420        1135047       21452092
900       59944       1677471        1286609       27448059
1000       68765       1874329        1455767       34113337
2000       135500       4124215        2901206       138127541
3000       205906       6682873        4384837       315432301
4000       281000       9168767        5949885       561750726
5000       365337       12099946        7622936       892817267
6000       428580       14825297        9051247       1287968700
7000       489802       17352419        10728995       1760743709
8000       576003       20037874        12173468       2295977357
9000       846642       30741669        18784905       3991783120
